report_date,primal_desc,choice_600_900,select_600_900,week_of_year,year,indexby_year,start_of_week,end_of_week
2013-05-09,Trim,96.95,96.95,194,2013,90,2013-05-05,2013-05-10
2013-05-09,Rib,303.51,268.23,194,2013,90,2013-05-05,2013-05-10
2013-05-09,Plate,140.11,143.11,194,2013,90,2013-05-05,2013-05-10
2013-05-10,Cutout,204.98,191.2,195,2013,91,2013-05-05,2013-05-10
2013-05-10,Brisket,134.06,133.63,195,2013,91,2013-05-05,2013-05-10
2013-05-10,Loin,307.89,264.49,195,2013,91,2013-05-05,2013-05-10
2013-05-10,Trim,95.31,95.31,195,2013,91,2013-05-05,2013-05-10
2013-05-10,Plate,139.88,142.95,195,2013,91,2013-05-05,2013-05-10
2013-05-10,Chuck,163.05,162.15,195,2013,91,2013-05-05,2013-05-10
2013-05-10,Flank,112.94,110.38,195,2013,91,2013-05-05,2013-05-10
2013-05-10,Round,162.95,161.5,195,2013,91,2013-05-05,2013-05-10
2013-05-10,Rib,305.09,268.84,195,2013,91,2013-05-05,2013-05-10
2013-05-13,Plate,140.08,143.18,201,2013,92,2013-05-12,2013-05-17
2013-05-13,Cutout,205.13,191.83,201,2013,92,2013-05-12,2013-05-17
2013-05-13,Round,163.63,161.75,201,2013,92,2013-05-12,2013-05-17
2013-05-13,Trim,95.91,95.91,201,2013,92,2013-05-12,2013-05-17
2013-05-13,Flank,112.59,110.62,201,2013,92,2013-05-12,2013-05-17
2013-05-13,Loin,306.94,264.95,201,2013,92,2013-05-12,2013-05-17
2013-05-13,Rib,311.4,275.82,201,2013,92,2013-05-12,2013-05-17
2013-05-13,Brisket,134.09,134.04,201,2013,92,2013-05-12,2013-05-17
2013-05-13,Chuck,161.31,160.93,201,2013,92,2013-05-12,2013-05-17
2013-05-14,Brisket,134.67,134.52,202,2013,93,2013-05-12,2013-05-17
2013-05-14,Cutout,206.09,192.07,202,2013,93,2013-05-12,2013-05-17
2013-05-14,Flank,113.3,111.68,202,2013,93,2013-05-12,2013-05-17
2013-05-14,Round,164.49,162.09,202,2013,93,2013-05-12,2013-05-17
2013-05-14,Loin,308.84,267.21,202,2013,93,2013-05-12,2013-05-17
2013-05-14,Trim,94.59,94.59,202,2013,93,2013-05-12,2013-05-17
2013-05-14,Chuck,161.38,159.46,202,2013,93,2013-05-12,2013-05-17
2013-05-14,Rib,313.19,275.55,202,2013,93,2013-05-12,2013-05-17
2013-05-14,Plate,141.31,144.44,202,2013,93,2013-05-12,2013-05-17
2013-05-15,Plate,141.6,144.85,203,2013,94,2013-05-12,2013-05-17
2013-05-15,Trim,93.99,93.99,203,2013,94,2013-05-12,2013-05-17
2013-05-15,Loin,314.82,269.03,203,2013,94,2013-05-12,2013-05-17
2013-05-15,Brisket,135.11,134.53,203,2013,94,2013-05-12,2013-05-17
2013-05-15,Chuck,163.23,160.44,203,2013,94,2013-05-12,2013-05-17
2013-05-15,Round,164.83,162.79,203,2013,94,2013-05-12,2013-05-17
2013-05-15,Rib,312.52,273.78,203,2013,94,2013-05-12,2013-05-17
2013-05-15,Flank,113.46,112.29,203,2013,94,2013-05-12,2013-05-17
2013-05-15,Cutout,207.95,192.75,203,2013,94,2013-05-12,2013-05-17
2013-05-16,Rib,313.77,274.43,204,2013,95,2013-05-12,2013-05-17
2013-05-16,Chuck,164.64,160.86,204,2013,95,2013-05-12,2013-05-17
2013-05-16,Plate,141.93,145.17,204,2013,95,2013-05-12,2013-05-17
2013-05-16,Flank,113.9,111.19,204,2013,95,2013-05-12,2013-05-17
2013-05-16,Brisket,134.69,134.74,204,2013,95,2013-05-12,2013-05-17
