date,lbs,year,indexby_year
2023-01-07,468.3,2023,1
2023-01-14,548.4,2023,2
2023-01-21,535.0,2023,3
2023-01-28,545.2,2023,4
2023-02-04,529.1,2023,5
2023-02-11,519.7,2023,6
2023-02-18,517.5,2023,7
2023-02-25,509.8,2023,8
2023-03-04,518.4,2023,9
2023-03-11,522.1,2023,10
2023-03-18,519.1,2023,11
2023-03-25,515.3,2023,12
2023-04-01,535.0,2023,13
2023-04-08,495.0,2023,14
2023-04-15,502.8,2023,15
2023-04-22,509.7,2023,16
2023-04-29,511.2,2023,17
2023-05-06,508.5,2023,18
2023-05-13,526.5,2023,19
2023-05-20,523.2,2023,20
2023-05-27,509.6,2023,21
2023-06-03,467.1,2023,22
2023-06-10,500.9,2023,23
2023-06-17,515.7,2023,24
2023-06-24,526.6,2023,25
2023-07-01,524.2,2023,26
2023-07-08,435.5,2023,27
2023-07-15,511.6,2023,28
2023-07-22,506.0,2023,29
2023-07-29,502.5,2023,30
2023-08-05,498.5,2023,31
2023-08-12,490.1,2023,32
2023-08-19,501.0,2023,33
2023-08-26,510.6,2023,34
2023-09-02,514.5,2023,35
2023-09-09,458.8,2023,36
