report_date,published_date,group,category,description,commodity,class,volume,unit,year,indexby_year
2011-02-04,,,,,,,57600.0,,2011,5
2011-02-11,,,,,,,49000.0,,2011,6
2011-02-18,,,,,,,56900.0,,2011,7
2011-02-25,,,,,,,58400.0,,2011,8
2011-03-04,,,,,,,56700.0,,2011,9
2011-03-11,,,,,,,56800.0,,2011,10
2011-03-18,,,,,,,60200.0,,2011,11
2011-03-25,,,,,,,59100.0,,2011,12
2011-04-01,,,,,,,57400.0,,2011,13
2011-04-08,,,,,,,50300.0,,2011,14
2011-04-15,,,,,,,55700.0,,2011,15
2011-04-22,,,,,,,58600.0,,2011,16
2011-04-29,,,,,,,55600.0,,2011,17
2011-05-06,,,,,,,57000.0,,2011,18
2011-05-13,,,,,,,57500.0,,2011,19
2011-05-20,,,,,,,55600.0,,2011,20
2011-05-27,,,,,,,59200.0,,2011,21
2011-06-03,,,,,,,56800.0,,2011,22
2011-06-10,,,,,,,50000.0,,2011,23
2011-06-17,,,,,,,58700.0,,2011,24
2011-06-24,,,,,,,59900.0,,2011,25
2011-07-01,,,,,,,61000.0,,2011,26
2011-07-08,,,,,,,59600.0,,2011,27
2011-07-15,,,,,,,50400.0,,2011,28
2011-07-22,,,,,,,56100.0,,2011,29
2011-07-29,,,,,,,54600.0,,2011,30
2011-08-05,,,,,,,58300.0,,2011,31
2011-08-12,,,,,,,55200.0,,2011,32
2011-08-19,,,,,,,57900.0,,2011,33
2011-08-26,,,,,,,57800.0,,2011,34
2011-09-02,,,,,,,62500.0,,2011,35
2011-09-09,,,,,,,59800.0,,2011,36
2011-09-16,,,,,,,50400.0,,2011,37
2011-09-23,,,,,,,65000.0,,2011,38
2011-09-30,,,,,,,64900.0,,2011,39
2011-10-07,,,,,,,62800.0,,2011,40
2011-10-14,,,,,,,62400.0,,2011,41
2011-10-21,,,,,,,62100.0,,2011,42
2011-10-28,,,,,,,65200.0,,2011,43
2011-11-04,,,,,,,63000.0,,2011,44
2011-11-11,,,,,,,66100.0,,2011,45
2011-11-18,,,,,,,63700.0,,2011,46
2011-11-25,,,,,,,66400.0,,2011,47
2011-12-02,,,,,,,43700.0,,2011,48
2011-12-09,,,,,,,67300.0,,2011,49
2011-12-16,,,,,,,67700.0,,2011,50
2011-12-23,,,,,,,64700.0,,2011,51
2011-12-30,,,,,,,53300.0,,2011,52
2012-01-07,,,,,,,51800.0,,2012,1
2012-01-14,,,,,,,59500.0,,2012,2
2012-01-21,,,,,,,57500.0,,2012,3
2012-01-28,,,,,,,52300.0,,2012,4
2012-02-04,,,,,,,56900.0,,2012,5
2012-02-11,,,,,,,56800.0,,2012,6
2012-02-18,,,,,,,57100.0,,2012,7
2012-02-25,,,,,,,54900.0,,2012,8
2012-03-03,,,,,,,55700.0,,2012,9
2012-03-10,,,,,,,54800.0,,2012,10
2012-03-17,,,,,,,55800.0,,2012,11
2012-03-24,,,,,,,55600.0,,2012,12
2012-03-31,,,,,,,55900.0,,2012,13
2012-04-07,,,,,,,53300.0,,2012,14
2012-04-14,,,,,,,54800.0,,2012,15
2012-04-21,,,,,,,56000.0,,2012,16
2012-04-28,,,,,,,57800.0,,2012,17
2012-05-05,,,,,,,56900.0,,2012,18
2012-05-12,,,,,,,56800.0,,2012,19
2012-05-19,,,,,,,56900.0,,2012,20
2012-05-26,,,,,,,57000.0,,2012,21
2012-06-02,,,,,,,43500.0,,2012,22
2012-06-09,,,,,,,59700.0,,2012,23
2012-06-16,,,,,,,59700.0,,2012,24
2012-06-23,,,,,,,57100.0,,2012,25
2012-06-30,,,,,,,56000.0,,2012,26
2012-07-07,,,,,,,43200.0,,2012,27
2012-07-14,,,,,,,57700.0,,2012,28
2012-07-21,,,,,,,56500.0,,2012,29
2012-07-28,,,,,,,61400.0,,2012,30
2012-08-04,,,,,,,62900.0,,2012,31
2012-08-11,,,,,,,61300.0,,2012,32
2012-08-18,,,,,,,60100.0,,2012,33
2012-08-25,,,,,,,60500.0,,2012,34
2012-09-01,,,,,,,60900.0,,2012,35
2012-09-08,,,,,,,53600.0,,2012,36
2012-09-15,,,,,,,64900.0,,2012,37
2012-09-22,,,,,,,66700.0,,2012,38
2012-09-29,,,,,,,66000.0,,2012,39
2012-10-06,,,,,,,67300.0,,2012,40
2012-10-13,,,,,,,62700.0,,2012,41
2012-10-20,,,,,,,63800.0,,2012,42
2012-10-27,,,,,,,60500.0,,2012,43
2012-11-03,,,,,,,60200.0,,2012,44
2012-11-10,,,,,,,64200.0,,2012,45
2012-11-17,,,,,,,62000.0,,2012,46
2012-11-24,,,,,,,43600.0,,2012,47
2012-12-01,,,,,,,64500.0,,2012,48
2012-12-08,,,,,,,65500.0,,2012,49
2012-12-15,,,,,,,65100.0,,2012,50
2012-12-22,,,,,,,62200.0,,2012,51
2012-12-29,,,,,,,34980.0,,2012,52
2013-01-05,,,,,,,46600.0,,2013,1
2013-01-12,,,,,,,56450.0,,2013,2
2013-01-19,,,,,,,59740.0,,2013,3
2013-01-26,,,,,,,57300.0,,2013,4
2013-02-02,,,,,,,55300.0,,2013,5
2013-02-09,,,,,,,57100.0,,2013,6
2013-02-16,,,,,,,56690.0,,2013,7
2013-02-23,,,,,,,55250.0,,2013,8
2013-03-02,,,,,,,54930.0,,2013,9
2013-03-09,,,,,,,56950.0,,2013,10
